iter	Passed	Remaining
0	444	444540
1	930	464151
2	1364	453399
3	1860	463153
4	2296	457041
5	2775	459825
6	3239	459536
7	3683	456744
8	4165	458682
9	4668	462198
10	5202	467723
11	5255	432702
12	5726	434794
13	6173	434816
14	6656	437129
15	7187	442036
16	7797	450865
17	9111	497097
18	10111	522070
19	10866	532454
20	11302	526930
21	11738	521843
22	12143	515840
23	12602	512503
24	13069	509724
25	13541	507272
26	14047	506223
27	14519	504039
28	14967	501167
29	15473	500309
30	15931	497978
31	16407	496331
32	16923	495908
33	17403	494467
34	17910	493818
35	18664	499789
36	19953	519340
37	21035	532519
38	21842	538214
39	22986	551683
40	24185	565712
41	24733	564166
42	25216	561212
43	25699	558388
44	26187	555754
45	26648	552674
46	27134	550185
47	27609	547581
48	28066	544725
49	28541	542295
50	29042	540418
51	29579	539258
52	30080	537467
53	30524	534749
54	30995	532566
55	31461	530357
56	31908	527881
57	32382	525943
58	32840	523781
59	33366	522740
60	33875	521460
61	34297	518885
62	34761	517001
63	35201	514827
64	35731	513988
65	36162	511749
66	36633	510140
67	37120	508765
68	37542	506546
69	38053	505565
70	38495	503688
71	39035	503121
72	39496	501548
73	39980	500300
74	40424	498564
75	40949	497861
76	41429	496621
77	41925	495583
78	42367	493934
79	42450	488177
80	42924	487006
81	43338	485181
82	43827	484217
83	44329	483405
84	44776	482004
85	45273	481163
86	45755	480165
87	46247	479287
88	46760	478642
89	47201	477258
90	47742	476904
91	48218	475897
92	48692	474881
93	49155	473777
94	49676	473235
95	50182	472550
96	50691	471905
97	51178	471049
98	51583	469462
99	52053	468479
100	52485	467169
101	52969	466337
102	53426	465273
103	53893	464309
104	54300	462849
105	54811	462278
106	55237	460998
107	55728	460277
108	56144	458942
109	56544	457497
110	57026	456725
111	57485	455775
112	57980	455122
113	58526	454860
114	58981	453903
115	59406	452720
116	59939	452367
117	60387	451372
118	60877	450695
119	61344	449861
120	61858	449372
121	62302	448370
122	62789	447694
123	63222	446635
124	63710	445976
125	64209	445391
126	64634	444295
127	65023	442972
128	65450	441920
129	65943	441311
130	66382	440353
131	66875	439756
132	67325	438883
133	67825	438334
134	68334	437850
135	68831	437282
136	69317	436647
137	69767	435791
138	70255	435182
139	70773	434750
140	71208	433813
141	71665	433021
142	72111	432161
143	72542	431226
144	72722	428810
145	73195	428144
146	73563	426865
147	74133	426767
148	74658	426407
149	75088	425502
150	75511	424564
151	75954	423746
152	76433	423132
153	76916	422542
154	77407	421995
155	77903	421477
156	78359	420743
157	78810	419990
158	79255	419207
159	79712	418490
160	80163	417745
161	80702	417460
162	81217	417047
163	81750	416728
164	82221	416090
165	82674	415365
166	83178	414895
167	83682	414427
168	84199	414024
169	84745	413757
170	85234	413212
171	85662	412373
172	86072	411456
173	86477	410518
174	87025	410263
175	87472	409530
176	88007	409209
177	88477	408587
178	88978	408110
179	89449	407492
180	89998	407230
181	90498	406747
182	90939	405998
183	91361	405166
184	91850	404636
185	92326	404051
186	92841	403635
187	93253	402776
188	93834	402642
189	94401	402447
190	94940	402130
191	95464	401746
192	95995	401389
193	96447	400705
194	97035	400581
195	97535	400096
196	98027	399574
197	98543	399150
198	99056	398713
199	99512	398050
200	100111	397954
201	100553	397234
202	101092	396899
203	101630	396557
204	102145	396126
205	102681	395773
206	103204	395368
207	103757	395076
208	104239	394515
209	104743	394035
210	105217	393443
211	105754	393088
